trial,cas_number,pred_value,real_value,error_value
1,71-30-7,-6.25268901505,-5.0,1.25268901505
2,84-06-0,-5.98814076599,-9.5,3.51185923401
3,105-67-9,-7.59096764232,-6.6,0.990967642318
4,36653-82-4,-7.63916839283,-6.6,1.03916839283
5,100-66-3,-6.25774577868,-6.0,0.25774577868
6,56-53-1,-7.47871808838,-6.2,1.27871808838
7,110-85-0,-5.85647347429,-3.7,2.15647347429
8,141-90-2,-5.98846408641,-4.9,1.08846408641
9,138-52-3,-4.89633282578,-5.5,0.603667174224
10,156-59-2,-4.51346438807,-3.1,1.41346438807
11,149-32-6,-4.18448794285,-4.5,0.315512057148
12,872-55-9,-5.01105945294,-5.0,0.0110594529445
13,60-54-8,-4.22253550885,-5.5,1.27746449115
14,87-17-2,-6.28088624545,-7.6,1.31911375455
15,470-82-6,-8.23776607248,-5.3,2.93776607248
16,70-47-3,-7.28552760248,-5.0,2.28552760248
17,93-65-2,-5.55203780353,-7.5,1.94796219647
18,51-34-3,-5.21158785804,-6.9,1.68841214196
19,632-22-4,-4.40780826691,-4.4,0.0078082669124
20,36378-49-1,-4.02612382391,-5.8,1.77387617609
21,598-53-8,-4.65970413699,-3.5,1.15970413699
22,75-85-4,-6.06214477314,-4.3,1.76214477314
23,40186-72-9,-6.4511281207,-4.7,1.7511281207
24,591-50-4,-6.59294002985,-5.8,0.792940029847
25,936-40-3,-4.86379969367,-6.0,1.13620030633
26,145-13-1,-4.30442795041,-5.7,1.39557204959
27,106-94-5,-4.9006272398,-3.5,1.4006272398
28,78-92-2,-4.59172566368,-4.0,0.591725663682
29,621-84-1,-4.87530728021,-6.9,2.02469271979
30,101-27-9,-5.16997059315,-7.7,2.53002940685
31,102170-44-5,-5.60415199178,-6.0,0.395848008223
32,110-82-7,-4.89678205253,-5.2,0.303217947475
33,123-30-8,-4.67025421672,-5.7,1.02974578328
34,16878-76-5,-4.46482632241,-5.6,1.13517367759
35,52-01-7,-4.17470856721,-6.2,2.02529143279
36,2437-79-8,-6.03532773414,-6.9,0.864672265858
37,3380-34-5,-5.39233913621,-7.0,1.60766086379
38,519-05-1,-4.78941453538,-6.3,1.51058546462
39,51-66-1,-5.09853156359,-6.2,1.10146843641
40,1002-84-2,-4.49503118429,-6.9,2.40496881571
41,694-80-4,-4.59857261075,-6.1,1.50142738925
42,143-07-7,-4.66087143074,-6.5,1.83912856926
43,107-06-2,-4.96123145397,-3.0,1.96123145397
44,262-12-4,-6.24799601923,-6.6,0.35200398077
45,51-55-8,-4.98059266166,-8.2,3.21940733834
46,58-40-2,-5.60166673856,-9.7,4.09833326144
47,4849-32-5,-6.55730047842,-7.3,0.742699521576
48,91-22-5,-6.0680412198,-7.4,1.3319587802
49,56-85-9,-6.25963210073,-5.4,0.859632100728
50,106-57-0,-5.31226598945,-4.8,0.512265989448
51,957-51-7,-7.47915759018,-9.4,1.92084240982
52,51940-44-4,-8.22211018058,-7.8,0.422110180576
53,94-75-7,-7.02082637762,-6.9,0.120826377621
54,127-18-4,-6.05819796861,-4.3,1.75819796861
55,95-49-8,-5.78954645401,-6.3,0.510453545993
56,83-43-2,-5.00239518634,-5.1,0.0976048136594
57,437-50-3,-6.37391012868,-6.1,0.273910128681
58,100-41-4,-5.63310847945,-6.3,0.666891520555
59,623-37-0,-4.75795112658,-4.9,0.142048873418
60,88-96-0,-4.54999140586,-7.4,2.85000859414
61,100-42-5,-6.69030361899,-6.3,0.390303618991
62,107-82-4,-4.75983366847,-4.4,0.35983366847
63,91-58-7,-6.11070211257,-8.0,1.88929788743
64,55702-45-9,-6.18747329602,-6.1,0.0874732960221
65,35693-92-6,-7.59712493212,-5.8,1.79712493212
66,88-06-2,-6.29250565354,-6.1,0.192505653538
67,36330-85-5,-7.06094268283,-8.3,1.23905731717
68,543-59-9,-4.67231081691,-4.3,0.372310816913
69,56-47-3,-4.65570422918,-5.5,0.844295770817
70,111-86-4,-7.19603480209,-5.3,1.89603480209
71,94-26-8,-6.83641782592,-8.0,1.16358217408
72,590-12-5,-6.70684538411,-3.2,3.50684538411
73,461-72-3,-7.13334857179,-4.5,2.63334857179
74,53808-87-0,-7.20007193186,-6.2,1.00007193186
75,108-88-3,-6.15046082052,-5.8,0.350460820522
76,3248-05-3,-5.34581917901,-6.4,1.05418082099
77,569-31-3,-6.20304563492,-6.6,0.396954365085
78,614-80-2,-5.44634137097,-6.5,1.05365862903
79,57-83-0,-7.39183428242,-5.4,1.99183428242
80,118-55-8,-6.80943687636,10.0,16.8094368764
81,2152-44-5,-6.91182050329,-4.7,2.21182050329
82,4516-69-2,-7.00021891955,-5.6,1.40021891955
83,289-80-5,-6.69800616848,-4.4,2.29800616848
84,846-49-1,-5.59996578489,-7.0,1.40003421511
85,2460-49-3,-6.45299671345,-6.0,0.452996713451
86,78-93-3,-6.69780175603,-4.1,2.59780175603
87,50-24-8,-6.29237625323,-5.1,1.19237625323
88,93-76-5,-5.83493020306,-6.9,1.06506979694
89,96-12-8,-6.18727172066,-3.8,2.38727172066
90,14309-40-1,-6.07698871147,-7.6,1.52301128853
91,22204-53-1,-5.89846409508,-6.8,0.901535904924
92,496-11-7,-6.42700573831,-7.0,0.572994261693
93,56030-54-7,-5.71257762039,-7.7,1.98742237961
94,474-25-9,-6.58362070048,-5.1,1.48362070048
95,106-95-6,-5.7924812283,-3.4,2.3924812283
96,629-04-9,-5.75976908307,-5.1,0.659769083073
97,14686-13-6,-5.70482435275,-5.0,0.704824352754
98,15258-73-8,-6.14834516338,-6.1,0.0483451633759
99,579-66-8,-5.623695512,-7.1,1.476304488
100,90-11-9,-6.01093064347,-8.2,2.18906935653
101,544-25-2,-7.04983927415,-6.0,1.04983927415
102,83-88-5,-5.71685300033,-5.3,0.416853000325
103,15687-27-1,-5.65776175383,-7.9,2.24223824617
104,90-12-0,-5.6361013407,-8.4,2.7638986593
105,513-36-0,-7.10721947627,-3.8,3.30721947627
106,31367-46-1,-6.50738279984,-5.6,0.907382799835
107,52-67-5,-5.77854208888,-4.7,1.07854208888
108,20354-26-1,-5.6661900832,-7.3,1.6338099168
109,52645-53-1,-5.76473673039,-8.6,2.83526326961
110,636-26-0,-5.80189708797,-5.2,0.60189708797
111,75-29-6,-5.77876463926,-3.4,2.37876463926
112,622-96-8,-5.67560991011,-6.6,0.924390089893
113,6164-98-3,-5.74894569232,-6.7,0.951054307678
114,626-48-2,-5.90361514099,-5.8,0.103615140993
115,4248-19-5,-5.65350661207,-4.8,0.853506612071
116,110-53-2,-5.64276130938,-4.5,1.14276130938
117,382-45-6,-6.27207811309,-5.7,0.572078113094
118,109-69-3,-5.68810237991,-4.0,1.68810237991
119,94-74-6,-5.6348777305,-7.1,1.4651222695
120,58-38-8,-5.85492839449,-8.1,2.24507160551
121,589-91-3,-6.37790066462,-5.9,0.477900664616
122,55880-77-8,-5.85975046994,-5.6,0.259750469935
123,64-85-7,-5.60708826247,-6.0,0.392911737526
124,2050-67-1,-5.60490391403,-6.9,1.29509608597
125,298-81-7,-5.86744239637,-7.2,1.33255760363
126,3002-23-1,-5.95011957682,-5.9,0.0501195768156
127,1668-19-5,-5.78830718969,10.4,16.1883071897
128,123-96-6,-5.6293178097,-5.5,0.129317809705
129,121-69-7,-5.9214230323,-6.2,0.278576967704
